U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMss,ShortWaveMss
4,10,MSS-Constrained Modified Lie,0.0143922669420231,0.0114261582179837,0.0258184251600068,0.891016022995786,0.00815825996214348,0.0176601651978633
4,11,Linear Elfouhaily,0.0167923043304758,0.0114374861669059,0.0282297904973817,0.825296764840006,0.00875550857194189,0.0194742819254398
4,11,MSS-Constrained Modified Lie,0.0144047170367711,0.0114707172439736,0.0258754342807447,0.892365808019911,0.0079722769179814,0.0179031573627633
4,12,Linear Elfouhaily,0.0167253920486844,0.0109424763129175,0.0276678683616018,0.808853100000142,0.00862716022884143,0.0190407081327604
4,12,MSS-Constrained Modified Lie,0.0143931816692526,0.0113937357094312,0.0257869173786838,0.88972269182259,0.00795632831973047,0.0178305890589533
4,13,Linear Elfouhaily,0.0167793631724668,0.0113807240251438,0.0281600871976107,0.82356372459147,0.00858034907782475,0.0195797381197859
4,13,MSS-Constrained Modified Lie,0.014401049453444,0.011461167411303,0.025862216864747,0.892107842457199,0.00781398161487425,0.0180482352498727
4,14,Linear Elfouhaily,0.0169467057453091,0.0111960336103455,0.0281427393556545,0.812810775495866,0.00850808369831618,0.0196346556573384
4,14,MSS-Constrained Modified Lie,0.0144204268663648,0.0114336838175781,0.025854110683943,0.890438708253356,0.00773421746450846,0.0181198932194345
4,15,Linear Elfouhaily,0.0168731509500275,0.0112493709498363,0.0281225218998638,0.816518488723803,0.00856092005064047,0.0195616018492233
4,15,MSS-Constrained Modified Lie,0.0144112464667496,0.0114415075949126,0.0258527540616621,0.891026978405749,0.0077947413691098,0.0180580126925523
4,16,Linear Elfouhaily,0.0169251018979506,0.0109886512705952,0.0279137531685458,0.805761568553363,0.00876687322196118,0.0191468799465847
4,16,MSS-Constrained Modified Lie,0.0144194362731004,0.011402332655736,0.0258217689288364,0.889247622154253,0.00803898336803366,0.0177827855608027
4,17,Linear Elfouhaily,0.0173687743270522,0.0114830448859599,0.0288518192130121,0.813099969955472,0.00858849919674337,0.0202633200162687
4,17,MSS-Constrained Modified Lie,0.0144741738623177,0.0114770039341511,0.0259511777964689,0.890466063501851,0.00764983914414187,0.018301338652327
4,18,Linear Elfouhaily,0.0166893819545126,0.0109963669675072,0.0276857489220198,0.811716707755116,0.00868018776471387,0.0190055611573059
4,18,MSS-Constrained Modified Lie,0.014389644909329,0.0114030885804995,0.0257927334898286,0.890197172389516,0.00801164639657008,0.0177810870932585
4,19,Linear Elfouhaily,0.0167093226266393,0.0113769837991705,0.0280863064258097,0.825152362722662,0.00878388750841863,0.0193024189173911
4,19,MSS-Constrained Modified Lie,0.0143900454510942,0.0114596893442167,0.0258497347953108,0.892391324360727,0.00800268573248636,0.0178470490628245
4,20,Linear Elfouhaily,0.0173619546381817,0.0115150703096766,0.0288770249478582,0.814392918125341,0.00891516572576992,0.0199618592220883
4,20,MSS-Constrained Modified Lie,0.0144742530146467,0.0114818992110384,0.0259561522256851,0.890653512853209,0.00793406123822027,0.0180220909874648
5,1,Linear Elfouhaily,0.0192544530728165,0.0130587501036126,0.0323132031764292,0.823540974835555,0.00878114455979783,0.0235320586166313
5,1,MSS-Constrained Modified Lie,0.0168729231102982,0.013168380258435,0.0300413033687332,0.883427706677145,0.00812412625160928,0.021917177117124
5,2,Linear Elfouhaily,0.019818694140109,0.013117698336034,0.0329363924761429,0.813563211529541,0.00881699981706704,0.0241193926590759
5,2,MSS-Constrained Modified Lie,0.0169453477387148,0.0131759374834635,0.0301212852221783,0.881790711957911,0.00800388292215292,0.0221174023000254
5,3,Linear Elfouhaily,0.0186113506519779,0.0128014876677889,0.0314128383197668,0.829356543008322,0.00887632431815671,0.0225365140016101
5,3,MSS-Constrained Modified Lie,0.0167879056630429,0.0131283771621954,0.0299162828252383,0.884315551272859,0.00841086655389473,0.0215054162713436
5,4,Linear Elfouhaily,0.019232740915385,0.0127117186487852,0.0319444595641702,0.812983151719837,0.00893454438881943,0.0230099151753508
5,4,MSS-Constrained Modified Lie,0.0168713819196254,0.0131145426809126,0.029985924600538,0.881660221923906,0.008324149103431,0.021661775497107
